TAIL_NUMBER,MANUFACTURER,MODEL
N271TW,Mitsubishi,MU-2B-60
N271VT,Aero Commander,680FL
N271WA,Mcdonnell Douglas,MD-11
N271YV,Embraer,EMB-120RT
N2710R,Fairchild,F-27A
N2711B,Dassault-Breguet,FALCON 50
N2711X,Cessna,402C
N27115,Cessna,402C
N27119,Fairchild,SA227-AC
N2712F,Cessna,402C
N2713X,Cessna,402C
N2713Y,Cessna,402C
N2714M,Cessna,402C
N2714R,Dehavilland,DHC-6 TWIN OTTER
N2715R,Cessna,402C
N2715T,Cessna,402C
N2716B,Cessna,402C
N2716F,Cessna,402C
N27172,Canadair,CL-600-2B19
N27173,Canadair,CL-600-2B19
N2718Y,Cessna,402C
N27185,Canadair,CL-600-2B19
N27188,Fairchild,SA227-AC
N2719A,Cessna,402C
N2719H,Fairchild,SA227-AC
N27191,Canadair,CL-600-2B19
N272AE,Saab,340B
N272AU,Boeing,737-2B7
N272BC,Raytheon Aircraft Company,400A
N272BQ,Raytheon Aircraft Company,400A
N272FE,Boeing,727-233
N272L,Douglas,DC3A
N272MC,Mitsubishi,MU-2B-25
N272R,Douglas,DC3C
N272SK,Embraer,EMB-145LR
N272SW,Raytheon Aircraft Company,B300
N272TA,Beech,B200
N272US,Boeing,727-251
N272WA,Mcdonnell Douglas,MD-11
N27205,Boeing,737-824
N2721D,Cessna,441
N2721M,Fairchild,SA227-AC
N27213,Boeing,737-824
N2722D,Cessna,441
N2722Y,Cessna,441
N2723X,Cessna,441
N27232,Convair,240-53
N27239,Boeing,737-824
N27246,Boeing,737-824
N2725N,Cessna,441
N2728G,Fairchild,SA227-AC
N273AE,Saab,340B
N273AS,Embraer,EMB-120RT
N273AU,Boeing,737-2B7
N273AZ,Cessna,441
N273C,Beech,D18S
N273CA,Learjet Inc,25
N273EP,Dehavilland,DHC-7-103
N273FE,Boeing,727-233
N273JC,Dassault Aviation,FALCON 2000
N273LJ,Gates Learjet Corp.,35A
N273LP,Learjet Inc,45
N273LR,Learjet Inc,25
N273M,Gates Learjet,25D
N273MC,Learjet Inc,60
N273MG,Gates Learjet Corp,55
N273P,Nihon,YS-11A-500
N273R,Lockheed,749A-79
N273RA,Israel Aircraft Industries,ASTRA SPX
N273RD,Fairchild,F-27
N273S,Bombardier Inc,CL-600-2B16
N273SK,Embraer,EMB-145LR
N273TA,Beech,B300
N273US,Boeing,727-251
N273WA,Mcdonnell Douglas,MD-11
N2731A,Beech,C18S
N27314,Bombardier Inc,CL-600-2B19
N27318,Bombardier Inc,CL-600-2B19
N27364,Fairchild,SA227-AC
N274AA,Mcdonnell Douglas,DC-9-82(MD-82)
N274AS,Embraer,EMB-120RT
N274AT,Aerospatiale,ATR 72-212
N274FE,Boeing,727-233
N274GC,Cessna,441
N274HM,Israel Aircraft Industries,1124
N274JS,Gates Learjet Corp.,35A
N274K,Israel Aircraft Industries,1124
N274KA,Beech,E-90
N274PH,Fairchild,F-27J
N274SK,Embraer,EMB-145LR
N274US,Boeing,737-2B7
N274WA,Mcdonnell Douglas,MD-11F
N2742G,Douglas,C54G-DC
N27442,Fairchild,SA227-AC
N27458,Douglas,C-47B
N27465,Fairchild,SA227-AC
N2748S,Cessna,402C
N2748X,Beech,B200
N2748Y,Cessna,402C
N275AA,Mcdonnell Douglas,DC-9-82(MD-82)
N275AF,Boeing,727-227
N275AS,Embraer,EMB-120RT
N275AU,Boeing,737-2B7
N275BC,Aerospatiale/Aeritalia,ATR 42-300
N275BT,Raytheon Aircraft Company,B300
N275FE,Boeing,727-233
N275MA,Fokker,F27-200
N275QS,Dassault Aviation,FALCON 2000
N275RA,Israel Aircraft Industries,ASTRA SPX
N275SK,Embraer,EMB-145LR
N275UE,Embraer,EMB-120RT
N275US,Boeing,727-251
N275WA,Mcdonnell Douglas,MD-11F
N275WC,Boeing,727-277
N275X,Beech,200
N27506,Embraer,EMB-135ER
N27512,Embraer,EMB-135ER
N27523,Embraer,EMB-135LR
N2755B,Aero Commander,680W
N2755H,Aero Commander,680T
N276AA,Mcdonnell Douglas,DC-9-82(MD-82)
N276AU,Boeing,737-2B7
N276CA,Swearingen,SA226TC
N276FE,Boeing,727-233
N276GC,Bombardier Inc,CL-600-2B16
N276JB,Raytheon Aircraft Company,B300
N276MC,Dornier,DORNIER 228-202
N276RD,Fairchild,F27M
N276SK,Embraer,EMB-145LR
N276UE,Embraer,EMB-120RT
N276WA,Mcdonnell Douglas,MD-11F
N27610,Boeing,737-524
N2763A,Consolidated Vultee,28-5ACF
N2768A,Cessna,402C
N277AL,Gates Learjet Corp,55
N277AT,Aerospatiale/Aeritalia,ATR 42-300
N277AU,Boeing,737-2B7
N277FE,Boeing,727-233
N277GE,Beech,B200
N277JJ,Beech,B200
N277MG,Aero Commander,1121A
N277MJ,Saab,340B
N277R,Aero Commander,680FL
N277RC,Cessna,560
N277RP,Gulfstream Aerospace,G-IV
N277SK,Embraer,EMB-145LR
N277SP,Beech,F90
N277T,Grumman American Avn. Corp.,G-1159
N277WA,Mcdonnell Douglas,MD-11
N27716,Embraer,EMB-120ER
N27722,Boeing,737-724
N27724,Boeing,737-724
N27733,Boeing,737-724
N27734,Boeing,737-724
N27783,Boeing,727-232
N278AA,Mcdonnell Douglas,DC-9-82(MD-82)
N278AE,Saab,340B
N278AU,Boeing,737-2B7
N278E,Convair,600-240D
N278FE,Boeing,727-233
N278MA,Fokker,F27-200
N278QS,Dassault Aviation,FALCON 2000
N278SK,Embraer,EMB-145LR
N278US,Boeing,727-251
N278WA,Mcdonnell Douglas,MD-11
N2782G,Douglas,C-47
N2782N,Douglas,C-47
N2782S,Douglas,DC3
N2786Y,Lockheed,18-56
N2789A,Beech,B300C
N279AA,Mcdonnell Douglas,DC-9-82(MD-82)
N279AG,Beech,D18S
N279AU,Boeing,737-2B7
N279CA,Beech,200
N279DD,Rockwell International,690B
N279DM,Gates Learjet Corp.,35A
N279FE,Boeing,727-233
N279LE,Gates Lear Jet,25B
N279MA,Fokker,F27-200
N279MC,Dornier,228-201
N279PC,Britten-Norman,BN-2A-3
N279SC,Beech,E18S
N279SK,Embraer,EMB-145LR
N279SP,Gates Learjet Corp.,35A
N279US,Boeing,727-251
N27962,Embraer,EMB-145
N28AA,Douglas,DC3A
N28AD,Aero Commander,690A
N28AU,Beech,200
N28BF,Douglas,C-117D
N28CA,Douglas,DC-6B
N28CG,Dornier Luftfahrt Gmbh,DO 328-100
N28CK,Learjet Inc,25
N28DA,Piper,PA-42
N28FA,Fairchild,F-27F
N28GP,Raytheon Aircraft Company,HAWKER 800XP
N28J,Beech,200
N28KC,Beech,200
N28MA,Douglas,DC3-G202A
N28MJ,Gates Learjet Corp.,35A
N28MS,Beech,E-90
N28NP,Israel Aircraft Industries,ASTRA SPX
N28PR,Douglas,DC3
N28Q,Dehavilland,DH104 DOVE 6BA
N28R,Dassault Aviation,FALCON 2000
N28RU,Beech,200
N28RY,Beech,300
N28RZ,Let,L-410-UVPE
N28SP,Dehavilland,DHC-6 TWIN OTTER
N28TC,Rockwell International,690B
N28TS,Beechcraft-Hawker Corp.,BH-125-600A
N28TX,Cessna,650
N28VU,Beech,200
N280AE,Saab,340B
N280AS,Embraer,EMB-120RT
N280AZ,Israel Aircraft Industries,1124
N280BC,Dassault-Breguet,MYSTERE FALCON 900
N280BG,Dassault-Breguet,FALCON 50
N280C,Gates Learjet,25D
N280EA,Fokker,F27 MK 600
N280FE,Boeing,727-233
N280J,Beech,D18S
N280JR,Beech,B200
N280K,Canadair Ltd,CL-600-2B16
N280P,Convair,240-0
N280RA,Beech,200
N280RX,Airbus Industrie,A320-231
N280SC,Beech,200
N280SK,Embraer,EMB-145LR
N280TT,Beech,200
N280VC,British Aerospace A/C Group,HS.125-700A
N280YR,Beech,200
N2804G,Beech,C-45G
N2805J,Douglas,DC3C-R-1830-90C
N2808J,Beech,UC-45J
N2809J,Beech,UC-45J
N281AS,Embraer,EMB-120RT
N281AU,Boeing,737-2B7
N281F,Lockheed,188C
N281FE,Boeing,727-233
N281GA,Gulfstream Aerospace,G-IV
N281H,Beech,C-45H
N281JH,Beech,200
N281KH,Boeing,727-2J0
N281LF,Boeing,737-2L9
N281M,Beech,C-45H
N281MA,Mitsubishi,MU-2B-25
N281QS,Dassault Aviation,FALCON 2000
N281SC,Boeing,727-282
N281SK,Embraer,EMB-145LR
N281US,Boeing,727-251
N2810J,Beech,UC-45J
N2812J,Beech,UC-45J
N2812W,Boeing,727-247
N2813J,Beech,UC-45J
N2815W,Boeing,727-247
N2816W,Boeing,727-247
N2817G,Beech,C-45G
N2817W,Boeing,727-247
N2819W,Boeing,727-247
N282AA,Beech,G18S
N282AS,Embraer,EMB-120RT
N282AT,Aerospatiale/Aeritalia,ATR 42-300
N282AU,Boeing,737-2B7
N282CT,Beech,B200
N282DB,Beech,E-90
N282F,Lockheed,188C
N282FE,Boeing,727-233
N282LH,Cessna,402B
N282MA,Fokker,F27 MK 500
N282Q,Gulfstream Aerospace,G-V
N282SC,Boeing,727-225
N282SJ,Beech,B200
N282SK,Embraer,EMB-145LR
N282TC,Beech,E-90
N282UE,Embraer,EMB-120RT
N282US,Boeing,727-251
N282WA,Boeing,727-247
N282WW,Rockwell International Corp,NA-265-60
N2820W,Boeing,727-247
N2821W,Boeing,727-247
N2823F,Convair,T-29B
N2825G,Beech,C18S
N2828S,Aero Commander,680FL
N2829G,Beech,C-45G
N2829W,Boeing,727-247
N283AA,Mcdonnell Douglas,DC-9-82(MD-82)
N283AE,Saab,340B
N283AS,Embraer,EMB-120RT
N283AU,Boeing,737-2B7
N283B,Beech,C-12
N283EA,Fokker,F27 MK 500
N283FE,Boeing,727-233
N283JP,Beech,200
N283KA,Beech,200
N283PM,Beech,100
N283S,Bombardier Inc,BD-700-1A10
N283SA,Dassault/Sud,FAN JET FALCON
N283SC,Boeing,727-225
N283SK,Embraer,EMB-145LR
N283TR,Airbus Industrie,A310-300
N283UE,Embraer,EMB-120RT
N283WA,Boeing,727-247
N2830S,Beech,B100
N28323,Douglas,DC3A
N2833G,Beech,C-45H
N28341,Douglas,DC3-G202A
N28342,Douglas,DC3-G202A
N28364,Douglas,DC3A
N28377,Britten-Norman,BN-2A
N284AE,Saab,340B
N284AS,Embraer,EMB-120RT
N284AU,Boeing,737-2B7
N284BC,Dehavilland,DHC-8-311
N284DB,Hawker Siddeley,DH.125-400A
N284F,Lockheed,188C
N284FE,Boeing,727-233
N284K,Beech,200
N284KH,Boeing,727-2J0
N284MA,Fokker,F27 MK 500
N284SC,Boeing,727-2J4
N284SK,Embraer,EMB-145LR
N284TJ,Gates Learjet,25D
N284UE,Embraer,EMB-120ER
N284US,Boeing,727-251
N284YV,Embraer,EMB-120RT
N2841D,Douglas,C-47
N2842G,Beech,C-45F
N2844G,Beech,C-45F
N285AA,Mcdonnell Douglas,DC-9-82(MD-82)
N285AS,Embraer,EMB-120ER
N285AU,Boeing,737-2B7
N285CC,Cessna,560
N285CD,Embraer,EMB-145LR
N285CP,Dassault-Breguet,FALCON 50
N285CR,Mcdonnell-Douglas,DC-10-30
N285F,Lockheed,188C
N285FE,Boeing,727-233
N285SC,Boeing,727-2J4
N285SE,Douglas,DC3A
N285SK,Embraer,EMB-145LR
N285TW,Dassault/Sud,FAN JET FALCON SER E
N285US,Boeing,727-251
N285XP,Raytheon Corporate Jets Inc,HAWKER 800XP
N28518,Embraer,EMB-135LR
N28529,Embraer,EMB-135LR
N286,Douglas,DC-7C
N286AA,Mcdonnell Douglas,DC-9-82(MD-82)
N286AE,Saab,340B
N286AF,Rockwell International,690A
N286AS,Embraer,EMB-120RT
N286AU,Boeing,737-2B7
N286F,Lockheed,188C
N286FE,Boeing,727-233
N286MC,Cessna,650
N286SC,Boeing,727-2A1
N286SE,Douglas,DC3A
N286SK,Embraer,EMB-145LR
N286US,Boeing,727-251
N286WL,Gates Learjet Corp.,35A
N287AA,Mcdonnell Douglas,DC-9-82(MD-82)
N287AU,Boeing,737-2B7
N287FE,Boeing,727-2D4
N287KB,Mcdonnell Douglas,DC-9-87
N287MA,Construcciones Aeronauticas Sa,CASA-212-200
N287MC,Cessna,650
N287QS,Dassault Aviation,FALCON 2000
N287SA,Dassault-Breguet,FALCON 20
N287SC,Boeing,727-2A1
N287SK,Embraer,EMB-145LR
N287US,Boeing,727-251
N28726,Boeing,707-331B
N28728,Boeing,707-331B
N2874G,Beech,C-45G
N2878F,Douglas,DC-6A
N288AA,Mcdonnell Douglas,DC-9-82(MD-82)
N288AM,Aerospatiale,ATR 72-212
N288AU,Boeing,737-2B7
N288CB,Beech,B300
N288CD,Boeing,737-201
N288CR,Beech,E-90
N288FE,Boeing,727-2D4
N288JP,Gates Learjet Corp.,35A
N288KA,Gulfstream Aerospace,G-1159A
N288KM,Beech,B200
N288RA,Beech,100
N288SA,Dehavilland,DHC-6-300
N288SC,Boeing,727-2J4
N288SK,Embraer,EMB-145LR
N288SW,Embraer,EMB-120ER
N288UE,Embraer,EMB-120RT
N288US,Boeing,727-251
N288Z,Bombardier Inc,BD-700-1A10
N2880A,Beech,99
N2880D,Beech,C-45
N2883,Beech,200
N289AA,Mcdonnell Douglas,DC-9-82(MD-82)
N289F,Lockheed,188C
N289K,Canadair Ltd,CL-600-2B16
N289MA,Mitsubishi,MU-2B-35
N289SC,Boeing,727-259
N289SK,Embraer,EMB-145LR
N289US,Boeing,727-251
N289YV,Embraer,EMB-120RT
N29AH,Raytheon Aircraft Company,B200
N29B,Raytheon Aircraft Company,HAWKER 800XP
N29BA,Beech,H-18
N29CL,Israel Aircraft Industries,1124A
N29DE,Aero Commander,680V
N29EC,Beech,300
N29FN,Learjet Inc,25
N29GA,Gulfstream Am Corp Comm Div,690D
N29GB,Beech,F90
N29GP,Raytheon Aircraft Company,HAWKER 800XP
N29GT,Beech,D18S
N29HF,Beech,200
N29JS,Mitsubishi,MU-2B-40
N29KA,Boeing,727-51
N29KG,Rockwell International,690B
N29KW,Boeing,B-29
N29MA,Douglas,DC3A-S4C4G
N29MM,Cessna,402B
N29NW,Gates Learjet Corp,55
N29PC,Israel Aircraft Industries,1124
N29PR,Aero Commander,681
N29RE,Learjet Inc,31A
N29SA,Rockwell International Corp,695
N29SM,Learjet Inc,31A
N29SW,Boeing,737-2H4
N29TF,Piper,PA-42
N29UA,Mcdonnell Douglas,DC-8-61
N29W,Beech,E18S
N290AA,Mcdonnell Douglas,DC-9-82(MD-82)
N290AS,Grumman,G-159
N290CA,Israel Aircraft Industries,1124
N290CP,Israel Aircraft Industries,1124
N290EC,British Aerospace,BAE 125 SERIES 800A
N290F,Lockheed,188C
N290GA,Israel Aircraft Industries,GALAXY
N290GC,Mitsubishi,MU-2B-25
N290JD,Convair,T-29B
N290K,Beech,E-90
N290KA,Beech,E-90
N290MP,Aero Commander,680FL
N290NE,Boeing,727-25
N290PF,Rockwell International,690A
N290SC,Boeing,727-2J4
N290SJ,Beech,200
N290SK,Embraer,EMB-145LR
N290SW,Embraer,EMB-120ER
N290UE,British Aerospace,BAE 146 SERIES 200A
N290US,Boeing,727-251
N290WA,Boeing,727-247
N2907F,Douglas,DC-6
N291AA,Mcdonnell Douglas,DC-9-82(MD-82)
N291BC,Dassault-Breguet,FALCON 50
N291DV,Cessna,560XL
N291GA,Israel Aircraft Industries,GALAXY
N291K,Gates Learjet Corp.,35A
N291MB,Mitsubishi,MU-2B-25
N291MM,Beech,E-90
N291MX,Airbus Industrie,A320-231
N291PA,Beech,200
N291RB,Rockwell International,690A
N291SC,Boeing,727-2K3
N291SK,Embraer,EMB-145LR
N291SW,Embraer,EMB-120ER
N291UE,British Aerospace,BAE 146 SERIES 200A
N291US,Boeing,727-251
N291WA,Boeing,727-247
N29124,Boeing,757-224
N29129,Boeing,757-224
N2913B,Beech,D18S
N292AA,Mcdonnell Douglas,DC-9-82(MD-82)
N292AS,Boeing,727-212
N292GA,Canadair Ltd,CL-600-2A12
N292ME,Gates Learjet Corp.,35A
N292MX,Airbus Industrie,A320-231
N292QS,Dassault Aviation,FALCON 2000
N292SK,Embraer,EMB-145LR
N292SW,Embraer,EMB-120ER
N292UE,British Aerospace,BAE 146 SERIES 200A
N292US,Boeing,727-251
N292UX,Embraer,EMB-120ER
N292WA,Boeing,727-247
N292Z,Aero Commander,680T
N2922Z,Douglas,DC3C
N293AA,Mcdonnell Douglas,DC-9-82(MD-82)
N293AS,Boeing,727-212
N293AT,Aerospatiale/Aeritalia,ATR 42-300
N293BC,Dassault-Breguet,FALCON 50
N293GA,Israel Aircraft Industries,GALAXY
N293QS,Cessna,560
N293SA,Learjet Inc,31A
N293SK,Embraer,EMB-145LR
N293SW,Embraer,EMB-120ER
N293US,Boeing,727-251
N293UX,Embraer,EMB-120ER
N293WA,Boeing,727-247
N293WM,Douglas,DC3C-S1C3G
N294,Douglas,DC-7C
N294AA,Mcdonnell Douglas,DC-9-82(MD-82)
N294AS,Boeing,727-290
N294CJ,Saab,340B
N294NW,Learjet Inc,25
N294R,Douglas,DC3-G202A
N294S,Israel Aircraft Industries,ASTRA SPX
N294SC,Boeing,727-2M7
N294SK,Embraer,EMB-145LR
N294SW,Embraer,EMB-120ER
N294WA,Boeing,727-247
N2945,Grumman,G-73
N2948B,Douglas,DC3
N2949,Grumman,G-73
N2949F,Douglas,DC-6A
N295,Douglas,DC-7C
N295AA,Mcdonnell Douglas,DC-9-82(MD-82)
N295AS,Boeing,727-290
N295CP,Beech,B200
N295FA,Beech,400A
N295M,Convair,240-5
N295SK,Embraer,EMB-145LR
N295SW,Embraer,EMB-120ER
N295TW,Dassault/Sud,FAN JET FALCON
N295US,Boeing,727-251
N295UX,Embraer,EMB-120ER
N295WA,Boeing,727-247
N2950,Grumman,G-73
N29515,Embraer,EMB-135LR
N2954,Grumman,G-73
N2954T,Dassault/Sud,FAN JET FALCON
N296AA,Mcdonnell Douglas,DC-9-82(MD-82)
N296AJ,Boeing,727-251
N296CA,Construcciones Aeronauticas Sa,CASA-212-200
N296CR,Mcdonnell-Douglas,DC-10-30
N296MA,Mitsubishi,MU-2B-35
N296SC,Boeing,727-224
N296SW,Embraer,EMB-120ER
N296US,Boeing,727-251
N296V,Canadair Ltd,CL-600 CHALLENGER
N296WA,Boeing,727-247
N29630,Douglas,DC-6A
N2966Q,Cessna,402B
N2968,Grumman,G-73
N2969,Grumman,G-73
N297AA,Mcdonnell Douglas,DC-9-82(MD-82)
N297AE,Saab,340B
N297AP,Lockheed,1329-25 JETSTAR II
N297GB,Grumman American Avn. Corp.,G-1159
N297JD,British Aerospace,HS125 FAN 400A
N297MC,Gulfstream Aerospace,G-IV
N297SA,Dehavilland,DHC-6-300
N297SW,Embraer,EMB-120ER
N297US,Boeing,727-251
N297UX,Embraer,EMB-120ER
N297WA,Boeing,727-247
N29717,Boeing,737-724
N2974,Grumman,G-73T
N2978,Grumman,G-73
N298AA,Mcdonnell Douglas,DC-9-82(MD-82)
N298AE,Saab,340B
N298AG,British Aerospace,BAE 125 SERIES 800A
N298BP,Hawker Siddeley,HS.125 SERIES 700A
N298DC,Bombardier Inc,CL-600-2B16
N298NW,Gates Learjet Corp.,35A
N298QS,Dassault Aviation,FALCON 2000
N298SW,Embraer,EMB-120ER
N298TB,Gulfstream American Corp.,G-1159A
N298US,Boeing,727-251
N298W,Dassault-Breguet,MYSTERE FALCON 900
N298YV,Embraer,EMB-120ER
N29813,Nord-Aviation,262A-26
N29816,Nord,262-A
N29854,Cessna,402B
N29862,Boeing,KC-97L
N29866,Boeing,KC-97L
N2987W,Boeing,KC-97L
N29884,Britten-Norman,BN2A-26 ISLANDER
N299AJ,Boeing,727-2F9
N299AW,Raytheon Aircraft Company,400A
N299CA,Beech,99
N299CJ,Saab,340B
N299CZ,Beech,99
N299EC,Swearingen,SA226-T(B)
N299GL,Beech,99
N299JC,Dassault/Sud,FAN JET FALCON SER F
N299KP,Beech,F90
N299MK,Beech,B200
N299MW,Gates Learjet,25D
N299PC,Britten-Norman,BN-2A-3
N299RJ,Raytheon Aircraft Company,B200
N299SC,Learjet Inc,60
N299SG,Learjet Inc,60
N299SW,Embraer,EMB-120ER
N299TJ,Beechcraft-Hawker Corp.,BH-125-600A
N299US,Boeing,727-251
N299UX,Embraer,EMB-120ER
N299Z,Beech,E18S-9700
N29906,Embraer,EMB-145LR
N2991,Beech,D18S
N29917,Embraer,EMB-145LR
N29953,Douglas,DC-8F-55
N29981,Groupment D'Interet Economique,AIRBUS IND. A300B4
N29997,Beech,B200
N3,Grumman,G-159
N3AH,Beech,300
N3AV,Israel Aircraft Industries,1124A
N3AW,Cessna,441
N3BA,Douglas,DC3C
N3BM,Dassault Aviation,FALCON 2000
N3CG,Aero Commander,680V
N3CR,Beech,200
N3DE,Beech,200
N3FE,Canadair Ltd,CL-600-2B16
N3GL,Hawker Siddeley,HS.125 SERIES 700A
N3GM,Beech,TC-45H
N3GT,Cessna,560
N3HB,Canadair Ltd,CL-600-2B16
N3HH,Convair,340
N3JL,Canadair Ltd,CL-600 CHALLENGER
N3LS,Beech,E-90
N3MF,Hawker Siddeley,DH-125
N3MZ,Cessna,402B
N3NA,Grumman,G-159
N3NC,Cessna,441
N3PC,Canadair Ltd,CL-600-2B16
N3PG,Gulfstream Aerospace,G-IV
N3PX,Beech,B200
N3RC,Lockheed,1329-25 JETSTAR II
N3RP,Rockwell International,NA-265-80
N3SK,Aero Commander,680W
N3SP,Cessna,402B
N3TJ,Rockwell International,690B
N3TK,Cessna,441
N3UN,Mitsubishi,MU-2B-36A
N3UW,Convair,580
N3VF,Dassault-Breguet,FALCON 20
N3VJ,Learjet Inc,31A
N3WM,Cessna,441
N3WU,Rockwell International,690A
N3YV,Beech,1900D
N3ZC,Beech,B200
N30AB,Israel Aircraft Industries,1124
N30AF,Cessna,650
N30AN,Israel Aircraft Industries,1123
N30BG,Aero Commander,681
N30DK,Gates Learjet Corp.,35A
N30EA,Dehavilland,DHC-6 TWIN OTTER
N30EG,Convair,340
N30EM,Beech,B200
N30FT,Dassault,MYSTERE FALCON 50EX
N30FW,Grumman,G-1159
N30G,Beech,D18S
N30GA,Boeing,727-225
N30GC,Beech,A100
N30GT,Beech,F90
N30HJ,Gates Learjet Corp.,35A
N30KA,Boeing,727-22
N30KC,Beech,E-90
N30KE,Convair,440
N30LB,Dassault,FALCON 900 EX
N30LH,Beech,2000
N30LJ,Gates Learjet,25D
N30MC,Beech,300
N30MP,Boeing,727-21
N30MR,Israel Aircraft Industries,1124
N30N,Lockheed,18-50
N30NH,Beech,F90
N30NM,Cessna,650
N30PA,Gates Learjet Corp.,35A
N30PC,Cessna,560
N30PH,Beech,200
N30PR,Grumman,G-1159
N30RR,Mitsubishi,MU-2B-25
N30RZ,Let,L-410-UVPE
N30SA,Beech,A100
N30SE,Beech,200
N30SM,Beech,300
N30TD,Beech,E18S
N30TH,Dassault Aviation,FALCON 2000
N30TV,Cessna,560
N30TW,Lockheed,18-08
N30UA,Mcdonnell Douglas,DC-8-61
N30VP,Raytheon Aircraft Company,B200
N30W,Learjet Inc,60
N30WR,Gulfstream Aerospace,G-1159A
N300A,Dassault-Breguet,FALCON 50
N300AA,Mitsubishi,MU-300
N300AJ,Beech,B200
N300AU,Boeing,737-301
N300AW,Lockheed,L-1011-385-1
N300BA,Dassault/Sud,FAN JET FALCON
N300BF,Douglas,DC3C-R-1830-90C
N300BL,British Aerospace,BAE 125 SERIES 800A
N300BS,British Aerospace A/C Group,HS.125-700A
N300CE,Saab,340B
N300CH,Beech,E-90
N300CR,Canadair Ltd,CL600-2B16(CL601-3A)
N300CV,Dassault/Sud,FAN JET FALCON
N300CW,Beech,300
N300DK,Beech,200
N300DM,Beech,F90
N300DZ,Dehavilland,DHC-6-300
N300ET,Beech,B200
N300FD,Cessna,402B
N300FL,Raytheon Aircraft Company,B200
N300G,Beech,E18S
N300GB,Raytheon Aircraft Company,400A
N300GC,Beech,F90
N300GL,Swearingen,SA226TC
N300GR,Convair,240
N300HB,Beech,200
N300HV,Beech,300
N300HW,Hawker Siddeley,DH.125-1A
N300JC,Beech,B300
N300JE,Learjet Inc,45
N300JK,Beech,200
N300K,Gulfstream Aerospace,G-V
N300KA,Beech,B300
N300KQ,Aero Commander,680V
N300L,Gulfstream Aerospace,G-V
N300LS,Corporate Jets Limited,BAE 125-1000A
N300MC,Beech,300
N300ME,Douglas,DC9-15
N300MF,Douglas,DC3C-R-1830-90C
N300MG,Convair,240-14
N300MP,Beech,B100
N300MR,Douglas,DC3-G202A
N300MT,Beech,E-90
N300NC,Dehavilland,CARIBOU DHC-4A
N300NE,Boeing,727-25
N300NK,Cessna,441
N300PE,Beech,300
N300PH,Beech,300
N300PK,Beech,300
N300PL,Gates Learjet,25D
N300PU,Raytheon Aircraft Company,B200
N300PX,British Aerospace,BAE JETSTREAM 3101
N300QS,Cessna,560
N300R,Gates Learjet Corp.,35A
N300RB,British Aerospace,BAE 125-800B
N300RC,Beech,300
N300RD,Grumman,G-1159
N300RX,Mitsubishi,MU-2B-35
N300SC,Gates Learjet,25D
N300SE,Beech,300
N300SF,Dassault/Sud,FAN JET FALCON
N300SN,Cessna,402C
N300SW,Boeing,737-3H4
N300TA,Beech,F90
N300TC,Israel Aircraft Industries,1124
N300TE,Gates Learjet Corp.,35A
N300TJ,Beech,300
N300TM,Beech,B300
N300TN,Beech,300
N300TP,Beech,B200
N300TR,Beech,200
N300TS,Mitsubishi,MU-300
N300TW,Hawker Siddeley,HS.125 SERIES 700A
N300UA,Boeing,737-322
N300WH,Dehavilland,DHC-6 SERIES 320
N300WY,Gulfstream Aerospace,G-1159A
N300XL,Israel Aircraft Industries,1124
N300ZZ,Douglas,DC3C
N3000S,Learjet Inc,45
N3001,Beech,C18S
N3001D,Mcdonnell Douglas,DC-9-83(MD-83)
N3003,Fairchild,C-119G-3E
N3003S,Learjet Inc,31A
N3004C,Mcdonnell Douglas,DC-9-83(MD-83)
N3005W,Fairchild,SA227-DC (C26B)
N30054,Learjet Inc,31A
N3006,Douglas,DC3
N3006J,Learjet Inc,60
N3007,Raytheon Aircraft Company,HAWKER 800XP
N3008,British Aerospace,BAE 125 SERIES 800A
N3008P,Learjet Inc,45
N30088,Douglas,DC3C-S1C3G
N30093,Swearingen,SA227-AC
N301AA,Boeing,767-223
N301AE,Saab,340B
N301AK,Douglas,DC3
N301AM,Boeing,757-2Q8
N301CE,Saab,340B
N301CG,Beech,300
N301CL,Dehavilland,DHC-6-200
N301DL,Boeing,737-232
N301EA,Lockheed,L-1011-385-1
N301FE,Mcdonnell Douglas,MD-10-30F
N301G,Douglas,DC-7C
N301GM,Mitsubishi,MU-2B-36
N301HC,Beech,B200
N301JT,Douglas,C54B-DC
N301K,Gulfstream Aerospace,G-V
N301KF,Israel Aircraft Industries,1124
N301KS,Beech,300
N301ME,Douglas,DC-9-32
N301MF,Canadair Ltd,CL-600-2B16
N301NB,Airbus Industrie,A-319-114
N301PC,Israel Aircraft Industries,1124A
N301PH,Corporate Jets Limited,BAE 125-1000A
N301PS,Beech,200
N301PX,British Aerospace,BAE JETSTREAM 3101
N301R,Dassault-Breguet,FALCON 20
N301SA,Airbus Industrie,A320-231
N301SF,Douglas,DC3A-S4C4G
N301SW,Boeing,737-3H4
N301TS,Beech,B100
N301TT,Dassault/Sud,FAN JET FALCON
N301TZ,Boeing,737-83N
N301UA,Boeing,737-322
N301UE,Jetstream Aircraft Limited,JETSTREAM 4101
N301US,Airbus Industrie,A320-211
N301YV,Embraer,EMB-120ER
N3010,Grumman,G-73
N3010P,Fairchild,SA227-DC (C26B)
N30135,Fairchild,SA227-DC
N30137,Learjet Inc,45
N3015M,Learjet Inc,60
N3015Q,Beech,B200
N3018C,Raytheon Aircraft Company,B200
N3019T,Learjet Inc,45
